[INFO 03:21:28]saferun_ptrace starting (mode: deny)
[INFO 03:22:23]PID 408 syscall #102 (getuid)
[INFO 03:22:23]PID 408 syscall #104 (getgid)
[INFO 03:22:23]PID 408 syscall #293 (pipe2)
[INFO 03:22:23]PID 408 syscall #3 (close)
[INFO 03:22:23]PID 408 syscall #3 (close)
[INFO 03:22:23]PID 408 syscall #32 (dup)
[INFO 03:22:23]PID 408 syscall #3 (close)
[INFO 03:22:23]PID 408 syscall #72 (fcntl)
[INFO 03:22:23]PID 408 syscall #257 (openat)
[INFO 03:22:23]PID 408 syscall #8 (lseek)
[INFO 03:22:23]PID 408 syscall #3 (close)
[INFO 03:22:23]PID 408 syscall #21 (access)
[INFO 03:22:23]PID 408 syscall #89 (readlink)
[INFO 03:22:23]PID 408 syscall #63 (uname)
[INFO 03:22:23]PID 408 syscall #302 (prlimit64)
[INFO 03:22:23]PID 408 syscall #230 (clock_nanosleep)
[INFO 03:22:23]PID 408 syscall #56 (clone)
[INFO 03:22:23]PID 408 syscall #61 (wait4)
[INFO 03:22:23]Child exited with code 0
[INFO 03:22:33]saferun_ptrace starting (mode: deny)
[INFO 03:22:33]PID 420 syscall #59 (execve)
[INFO 03:22:33]PID 420 syscall #59 (execve)
[INFO 03:22:33]PID 420 syscall #59 (execve)
[INFO 03:22:33]PID 420 syscall #59 (execve)
[INFO 03:22:33]PID 420 syscall #59 (execve)
[INFO 03:22:33]PID 420 syscall #59 (execve)
[INFO 03:22:33]PID 420 syscall #59 (execve)
[INFO 03:22:33]PID 420 syscall #59 (execve)
[INFO 03:22:33]PID 420 syscall #59 (execve)
[INFO 03:22:33]PID 420 syscall #59 (execve)
[INFO 03:22:33]PID 420 syscall #59 (execve)
[INFO 03:22:33]PID 420 syscall #59 (execve)
[INFO 03:22:33]PID 420 syscall #59 (execve)
[INFO 03:22:33]PID 420 syscall #59 (execve)
[INFO 03:22:33]PID 420 syscall #59 (execve)
[INFO 03:22:33]PID 420 syscall #59 (execve)
[INFO 03:22:33]PID 420 syscall #59 (execve)
[INFO 03:22:33]PID 420 syscall #59 (execve)
[INFO 03:22:33]PID 420 syscall #59 (execve)
[INFO 03:22:33]PID 420 syscall #59 (execve)
[INFO 03:22:33]PID 420 syscall #59 (execve)
[INFO 03:22:33]PID 420 syscall #32 (dup)
[INFO 03:22:33]PID 420 syscall #72 (fcntl)
[INFO 03:22:33]PID 420 syscall #3 (close)
[INFO 03:22:33]PID 420 syscall #1 (write)
[INFO 03:22:33]PID 420 syscall #231 (exit_group)
[INFO 03:22:33]Child exited with code 127
[INFO 03:22:45]saferun_ptrace starting (mode: deny)
[INFO 03:22:45]PID 431 syscall #59 (execve)
[INFO 03:22:45]PID 431 syscall #12 (brk)
[INFO 03:22:45]PID 431 syscall #12 (brk)
[INFO 03:22:45]PID 431 syscall #158 (arch_prctl)
[INFO 03:22:45]PID 431 syscall #218 (set_tid_address)
[INFO 03:22:45]PID 431 syscall #273 (set_robust_list)
[INFO 03:22:45]PID 431 syscall #334 (rseq)
[INFO 03:22:45]PID 431 syscall #302 (prlimit64)
[INFO 03:22:45]PID 431 syscall #267 (readlinkat)
[INFO 03:22:45]PID 431 syscall #318 (getrandom)
[INFO 03:22:45]PID 431 syscall #12 (brk)
[INFO 03:22:45]PID 431 syscall #12 (brk)
[INFO 03:22:45]PID 431 syscall #12 (brk)
[INFO 03:22:45]PID 431 syscall #10 (mprotect)
[INFO 03:22:45]PID 431 syscall #5 (fstat)
[INFO 03:22:45]PID 431 syscall #39 (getpid)
[INFO 03:22:45]PID 431 syscall #257 (openat)
[INFO 03:22:45]PID 431 syscall #32 (dup)
[INFO 03:22:45]PID 431 syscall #72 (fcntl)
[INFO 03:22:45]PID 431 syscall #3 (close)
[INFO 03:22:45]PID 431 syscall #1 (write)
[INFO 03:22:45]PID 431 syscall #1 (write)
[INFO 03:22:45]PID 431 syscall #0 (read)
[INFO 03:22:45]PID 431 syscall #9 (mmap)
[INFO 03:22:45]PID 431 syscall #11 (munmap)
[INFO 03:22:45]PID 431 syscall #41 (socket)
[INFO 03:22:45]PID 431 syscall #3 (close)
[INFO 03:22:45]PID 431 syscall #39 (getpid)
[INFO 03:22:45]PID 431 syscall #62 (kill)
[INFO 03:22:45]PID 431 syscall #110 (getppid)
[INFO 03:22:45]PID 431 syscall #102 (getuid)
[INFO 03:22:45]PID 431 syscall #104 (getgid)
[INFO 03:22:45]PID 431 syscall #293 (pipe2)
[INFO 03:22:45]PID 431 syscall #3 (close)
[INFO 03:22:45]PID 431 syscall #3 (close)
[INFO 03:22:45]PID 431 syscall #32 (dup)
[INFO 03:22:45]PID 431 syscall #3 (close)
[INFO 03:22:45]PID 431 syscall #72 (fcntl)
[INFO 03:22:45]PID 431 syscall #257 (openat)
[INFO 03:22:45]PID 431 syscall #8 (lseek)
[INFO 03:22:45]PID 431 syscall #3 (close)
[INFO 03:22:45]PID 431 syscall #21 (access)
[INFO 03:22:45]PID 431 syscall #89 (readlink)
[INFO 03:22:45]PID 431 syscall #63 (uname)
[INFO 03:22:45]PID 431 syscall #302 (prlimit64)
[INFO 03:22:45]PID 431 syscall #230 (clock_nanosleep)
[INFO 03:22:45]PID 431 syscall #56 (clone)
[INFO 03:22:45]PID 431 syscall #61 (wait4)
[INFO 03:22:45]Child exited with code 0
[INFO 03:22:49]saferun_ptrace starting (mode: deny)
[INFO 03:22:49]PID 440 syscall #59 (execve)
[INFO 03:22:49]PID 440 syscall #12 (brk)
[INFO 03:22:49]PID 440 syscall #12 (brk)
[INFO 03:22:49]PID 440 syscall #158 (arch_prctl)
[INFO 03:22:49]PID 440 syscall #218 (set_tid_address)
[INFO 03:22:49]PID 440 syscall #273 (set_robust_list)
[INFO 03:22:49]PID 440 syscall #334 (rseq)
[INFO 03:22:49]PID 440 syscall #302 (prlimit64)
[INFO 03:22:49]PID 440 syscall #267 (readlinkat)
[INFO 03:22:49]PID 440 syscall #318 (getrandom)
[INFO 03:22:49]PID 440 syscall #12 (brk)
[INFO 03:22:49]PID 440 syscall #12 (brk)
[INFO 03:22:49]PID 440 syscall #12 (brk)
[INFO 03:22:49]PID 440 syscall #10 (mprotect)
[INFO 03:22:49]PID 440 syscall #5 (fstat)
[INFO 03:22:49]PID 440 syscall #39 (getpid)
[INFO 03:22:49]PID 440 syscall #257 (openat)
[INFO 03:22:49]PID 440 syscall #32 (dup)
[INFO 03:22:49]PID 440 syscall #72 (fcntl)
[INFO 03:22:49]PID 440 syscall #3 (close)
[INFO 03:22:49]PID 440 syscall #1 (write)
[INFO 03:22:49]PID 440 syscall #1 (write)
[INFO 03:22:49]PID 440 syscall #0 (read)
[INFO 03:22:49]PID 440 syscall #9 (mmap)
[INFO 03:22:49]PID 440 syscall #11 (munmap)
[INFO 03:22:49]PID 440 syscall #41 (socket)
[INFO 03:22:49]PID 440 syscall #3 (close)
[INFO 03:22:49]PID 440 syscall #39 (getpid)
[INFO 03:22:49]PID 440 syscall #62 (kill)
[INFO 03:22:49]PID 440 syscall #110 (getppid)
[INFO 03:22:49]PID 440 syscall #102 (getuid)
[INFO 03:22:49]PID 440 syscall #104 (getgid)
[INFO 03:22:49]PID 440 syscall #293 (pipe2)
[INFO 03:22:49]PID 440 syscall #3 (close)
[INFO 03:22:49]PID 440 syscall #3 (close)
[INFO 03:22:49]PID 440 syscall #32 (dup)
[INFO 03:22:49]PID 440 syscall #3 (close)
[INFO 03:22:49]PID 440 syscall #72 (fcntl)
[INFO 03:22:49]PID 440 syscall #257 (openat)
[INFO 03:22:49]PID 440 syscall #8 (lseek)
[INFO 03:22:49]PID 440 syscall #3 (close)
[INFO 03:22:49]PID 440 syscall #21 (access)
